2022-02-26 13:53:51.4645, Unable to read banned.txt
2022-02-26 13:53:51.4645, Adding Test Frequency: 247200000
2022-02-26 13:53:51.4645, Adding Test Frequency: 120300000
2022-02-26 13:53:51.4645, Adding Global Frequency: 248220000
2022-02-26 13:53:51.5556, DCS-SRS Server Running - 1.9.9.0
2022-02-26 13:53:51.9856, EVENT, TRANSMISSION LOGGING ENABLED
2022-02-26 13:53:52.8655, Running latest stable version: 1.9.9.0
2022-02-26 17:30:07.6415, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 5:30:04 PM, 2022-02-26 5:30:07 PM, 108.63.217.4:54805
2022-02-26 17:35:36.5006, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 5:35:35 PM, 2022-02-26 5:35:35 PM, 108.63.217.4:54805
2022-02-26 17:36:12.5091, Disconnecting Client
2022-02-26 17:36:12.5091, Removed Disconnected Client NcY61BaBy0W4GT6wAiZL5g
2022-02-26 17:36:46.2975, TRANSMISSION, wSmVAf8qlkes0RLBnT3btA, Zykstar, 2, 141.500 FM. 2022-02-26 5:36:45 PM, 2022-02-26 5:36:45 PM, 134.41.0.42:61761
2022-02-26 17:36:47.8165, TRANSMISSION, wSmVAf8qlkes0RLBnT3btA, Zykstar, 2, 141.500 FM. 2022-02-26 5:36:46 PM, 2022-02-26 5:36:47 PM, 134.41.0.42:61761
2022-02-26 17:36:52.3745, TRANSMISSION, wSmVAf8qlkes0RLBnT3btA, Zykstar, 2, 141.500 FM. 2022-02-26 5:36:51 PM, 2022-02-26 5:36:51 PM, 134.41.0.42:61761
2022-02-26 17:36:53.3905, TRANSMISSION, wSmVAf8qlkes0RLBnT3btA, Zykstar, 2, 141.500 FM. 2022-02-26 5:36:52 PM, 2022-02-26 5:36:52 PM, 134.41.0.42:61761
2022-02-26 18:02:49.8772, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:02:47 PM, 2022-02-26 6:02:49 PM, 75.33.150.12:56517
2022-02-26 18:02:52.9128, TRANSMISSION, wSmVAf8qlkes0RLBnT3btA, Zykstar, 2, 69.420 FM. 2022-02-26 6:02:50 PM, 2022-02-26 6:02:52 PM, 134.41.0.42:61761
2022-02-26 18:02:55.4355, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:02:53 PM, 2022-02-26 6:02:54 PM, 108.63.217.4:54805
2022-02-26 18:15:39.5409, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:15:35 PM, 2022-02-26 6:15:39 PM, 108.63.217.4:54805
