2022-03-05 17:31:50.9986, Unable to read banned.txt
2022-03-05 17:31:51.0136, Adding Test Frequency: 247200000
2022-03-05 17:31:51.0136, Adding Test Frequency: 120300000
2022-03-05 17:31:51.0136, Adding Global Frequency: 248220000
2022-03-05 17:31:51.2336, DCS-SRS Server Running - 1.9.9.0
2022-03-05 17:31:51.5287, EVENT, TRANSMISSION LOGGING ENABLED
2022-03-05 17:31:53.6138, Running latest stable version: 1.9.9.0
2022-03-05 17:32:23.8847, Disconnecting Client
2022-03-05 17:32:23.8847, Removed Disconnected Client UjfQ8J2j1Uu3s9DdnspSLQ
2022-03-05 17:36:39.2615, Disconnecting Client
2022-03-05 17:36:39.2615, Removed Disconnected Client E1Q_LEj6C0qVLMFEDLf1-w
2022-03-05 18:00:42.7422, Disconnecting Client
2022-03-05 18:00:42.7422, Removed Disconnected Client GZf3iEU6Ak2olmB77xfedQ
2022-03-05 18:02:19.0922, TRANSMISSION, xosCXmiFLkOkSU_-9rm9Fg, Spurs, 2, 141.500 FM. 2022-03-05 6:02:15 PM, 2022-03-05 6:02:18 PM, 14.12.150.192:60113
2022-03-05 18:02:26.1597, TRANSMISSION, xosCXmiFLkOkSU_-9rm9Fg, Spurs, 2, 69.420 FM. 2022-03-05 6:02:22 PM, 2022-03-05 6:02:25 PM, 14.12.150.192:60113
2022-03-05 18:02:44.8811, TRANSMISSION, xosCXmiFLkOkSU_-9rm9Fg, Spurs, 2, 69.420 FM. 2022-03-05 6:02:42 PM, 2022-03-05 6:02:44 PM, 14.12.150.192:60113
2022-03-05 18:02:50.9576, TRANSMISSION, xosCXmiFLkOkSU_-9rm9Fg, Spurs, 2, 69.420 FM. 2022-03-05 6:02:47 PM, 2022-03-05 6:02:50 PM, 14.12.150.192:60113
2022-03-05 18:03:20.7146, Disconnecting Client
2022-03-05 18:03:20.7146, Removed Disconnected Client GZf3iEU6Ak2olmB77xfedQ
2022-03-05 18:03:39.0668, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 6:03:38 PM, 2022-03-05 6:03:38 PM, 108.63.217.4:64921
2022-03-05 18:03:45.1422, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 6:03:42 PM, 2022-03-05 6:03:44 PM, 108.63.217.4:64921
2022-03-05 18:03:52.2009, TRANSMISSION, xosCXmiFLkOkSU_-9rm9Fg, Spurs, 2, 69.420 FM. 2022-03-05 6:03:49 PM, 2022-03-05 6:03:51 PM, 14.12.150.192:60113
2022-03-05 18:03:55.7356, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 6:03:54 PM, 2022-03-05 6:03:55 PM, 108.63.217.4:64921
2022-03-05 18:04:07.8727, TRANSMISSION, xosCXmiFLkOkSU_-9rm9Fg, Spurs, 2, 69.420 FM. 2022-03-05 6:04:03 PM, 2022-03-05 6:04:07 PM, 14.12.150.192:60113
2022-03-05 18:04:09.3890, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 6:04:08 PM, 2022-03-05 6:04:08 PM, 108.63.217.4:64921
2022-03-05 18:09:03.2282, Disconnecting Client
2022-03-05 18:09:03.2282, Removed Disconnected Client GZf3iEU6Ak2olmB77xfedQ
2022-03-05 18:09:15.3197, TRANSMISSION, GZf3iEU6Ak2olmB77xfedQ, Tofutakeout, 2, 69.420 FM. 2022-03-05 6:09:13 PM, 2022-03-05 6:09:14 PM, 45.51.249.70:63263
2022-03-05 18:09:21.3863, TRANSMISSION, GZf3iEU6Ak2olmB77xfedQ, Tofutakeout, 2, 69.420 FM. 2022-03-05 6:09:19 PM, 2022-03-05 6:09:20 PM, 45.51.249.70:63263
2022-03-05 18:09:24.4208, TRANSMISSION, xosCXmiFLkOkSU_-9rm9Fg, Spurs, 2, 69.420 FM. 2022-03-05 6:09:22 PM, 2022-03-05 6:09:23 PM, 14.12.150.192:60113
2022-03-05 18:31:07.8476, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 6:31:04 PM, 2022-03-05 6:31:07 PM, 75.33.150.12:58053
2022-03-05 18:31:10.3702, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 6:31:08 PM, 2022-03-05 6:31:09 PM, 108.63.217.4:64921
